"year","code","category","name"
"2018","LC","Least Concern","Tachyeres patachonicus"
"2016","LC","Least Concern","Tachyeres patachonicus"
"2018","LC","Least Concern","Tachyeres pteneres"
"2016","LC","Least Concern","Tachyeres pteneres"
"2018","LC","Least Concern","Tachyeres brachypterus"
"2016","LC","Least Concern","Tachyeres brachypterus"
"2018","VU","Vulnerable","Tachyeres leucocephalus"
"2016","VU","Vulnerable","Tachyeres leucocephalus"
"2018","LC","Least Concern","Aythya marila"
"2016","LC","Least Concern","Aythya marila"
"2018","VU","Vulnerable","Polysticta stelleri"
"2016","VU","Vulnerable","Polysticta stelleri"
"2018","LC","Least Concern","Somateria fischeri"
"2018","NT","Near Threatened","Somateria fischeri"
"2016","LC","Least Concern","Somateria fischeri"
"2018","LC","Least Concern","Somateria spectabilis"
"2016","LC","Least Concern","Somateria spectabilis"
"2018","NT","Near Threatened","Somateria mollissima"
"2016","NT","Near Threatened","Somateria mollissima"
"2015","NT","Near Threatened","Somateria mollissima"
"2018","LC","Least Concern","Histrionicus histrionicus"
"2016","LC","Least Concern","Histrionicus histrionicus"
"2018","LC","Least Concern","Melanitta perspicillata"
"2016","LC","Least Concern","Melanitta perspicillata"
"2018","VU","Vulnerable","Melanitta fusca"
"2016","VU","Vulnerable","Melanitta fusca"
"2015","VU","Vulnerable","Melanitta fusca"
"2018","LC","Least Concern","Melanitta deglandi"
"2016","LC","Least Concern","Melanitta deglandi"
"2018","LC","Least Concern","Melanitta nigra"
"2016","LC","Least Concern","Melanitta nigra"
"2018","NT","Near Threatened","Melanitta americana"
"2016","NT","Near Threatened","Melanitta americana"
"2018","VU","Vulnerable","Clangula hyemalis"
"2017","VU","Vulnerable","Clangula hyemalis"
"2016","VU","Vulnerable","Clangula hyemalis"
"2016","LC","Least Concern","Bucephala albeola"
"2018","LC","Least Concern","Bucephala clangula"
"2016","LC","Least Concern","Bucephala clangula"
"2018","LC","Least Concern","Bucephala islandica"
"2016","LC","Least Concern","Bucephala islandica"
"2016","LC","Least Concern","Mergellus albellus"
"2015","LC","Least Concern","Mergellus albellus"
"2016","LC","Least Concern","Lophodytes cucullatus"
"2018","LC","Least Concern","Mergus merganser"
"2016","LC","Least Concern","Mergus merganser"
"2018","LC","Least Concern","Mergus serrator"
"2016","LC","Least Concern","Mergus serrator"
"2018","LC","Least Concern","Gavia stellata"
"2016","LC","Least Concern","Gavia stellata"
"2018","LC","Least Concern","Gavia arctica"
"2016","LC","Least Concern","Gavia arctica"
"2014","LC","Least Concern","Gavia arctica"
"2018","LC","Least Concern","Gavia pacifica"
"2016","LC","Least Concern","Gavia pacifica"
"2018","LC","Least Concern","Gavia immer"
"2016","LC","Least Concern","Gavia immer"
"2018","NT","Near Threatened","Gavia adamsii"
"2016","NT","Near Threatened","Gavia adamsii"
"2015","NT","Near Threatened","Gavia adamsii"
"2018","LC","Least Concern","Aptenodytes patagonicus"
"2017","LC","Least Concern","Aptenodytes patagonicus"
"2016","LC","Least Concern","Aptenodytes patagonicus"
"2018","NT","Near Threatened","Aptenodytes forsteri"
"2016","NT","Near Threatened","Aptenodytes forsteri"
"2018","LC","Least Concern","Pygoscelis papua"
"2016","LC","Least Concern","Pygoscelis papua"
"2018","LC","Least Concern","Pygoscelis adeliae"
"2016","LC","Least Concern","Pygoscelis adeliae"
"2018","LC","Least Concern","Pygoscelis antarcticus"
"2016","LC","Least Concern","Pygoscelis antarcticus"
"2018","VU","Vulnerable","Eudyptes pachyrhynchus"
"2016","VU","Vulnerable","Eudyptes pachyrhynchus"
"2018","VU","Vulnerable","Eudyptes robustus"
"2017","VU","Vulnerable","Eudyptes robustus"
"2016","VU","Vulnerable","Eudyptes robustus"
"2016","EN","Endangered","Eudyptes sclateri"
"2018","VU","Vulnerable","Eudyptes chrysocome"
"2016","VU","Vulnerable","Eudyptes chrysocome"
"2018","EN","Endangered","Eudyptes moseleyi"
"2017","EN","Endangered","Eudyptes moseleyi"
"2016","EN","Endangered","Eudyptes moseleyi"
"2018","NT","Near Threatened","Eudyptes schlegeli"
"2016","NT","Near Threatened","Eudyptes schlegeli"
