"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Gavia arctica",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Phoebastria nigripes",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,"NT","Near Threatened"
"Phoebastria irrorata",NA,NA,"CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered"
"Thalassarche melanophris",NA,NA,"LC","Least Concern","LC","Least Concern","NT","Near Threatened",NA,NA,"NT","Near Threatened"
"Pterodroma macroptera",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Pterodroma feae",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,"NT","Near Threatened"
"Pterodroma deserta",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA,"VU","Vulnerable"
"Pterodroma inexpectata",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened"
"Calonectris diomedea",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern","LC","Least Concern","LC","Least Concern"
"Calonectris borealis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern"
"Puffinus bryani",NA,NA,"CR","Critically Endangered",NA,NA,"CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered"
"Puffinus lherminieri",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern","LC","Least Concern","LC","Least Concern"
"Puffinus persicus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Puffinus bailloni",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Puffinus subalaris",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern"
"Puffinus bannermani",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered"
"Puffinus assimilis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern"
"Oceanites pincoyae",NA,NA,"DD","Data Deficient","DD","Data Deficient","DD","Data Deficient",NA,NA,"DD","Data Deficient"
"Leucocarbo atriceps",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Leucocarbo verrucosus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Larus argentatus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern"
"Larus smithsonianus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern"
"Larus cachinnans",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern"
"Larus michahellis","LC","Least Concern","LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern"
"Larus armenicus","NT","Near Threatened",NA,NA,NA,NA,"NT","Near Threatened","NT","Near Threatened","LC","Least Concern"
"Gelochelidon nilotica","LC","Least Concern","LC","Least Concern",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern"
"Brachyramphus brevirostris",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened"
"Synthliboramphus hypoleucus",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered"
"Synthliboramphus scrippsi",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable"
"Somateria mollissima",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened","NT","Near Threatened",NA,NA
"Melanitta fusca",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable","VU","Vulnerable",NA,NA
"Mergellus albellus",NA,NA,NA,NA,NA,NA,"LC","Least Concern","LC","Least Concern",NA,NA
"Gavia adamsii",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened","NT","Near Threatened",NA,NA
"Eudyptes schlegeli",NA,NA,"NT","Near Threatened",NA,NA,"NT","Near Threatened","NT","Near Threatened",NA,NA
"Spheniscus demersus",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered","EN","Endangered",NA,NA
"Phoebastria albatrus",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA
"Diomedea amsterdamensis",NA,NA,"EN","Endangered","CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Diomedea dabbenena",NA,NA,"CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Pterodroma magentae",NA,NA,"CR","Critically Endangered",NA,NA,"CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Pterodroma phaeopygia",NA,NA,"CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Pterodroma axillaris",NA,NA,"VU","Vulnerable",NA,NA,"VU","Vulnerable","VU","Vulnerable",NA,NA
"Pseudobulweria aterrima",NA,NA,"CR","Critically Endangered",NA,NA,"CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Pseudobulweria becki",NA,NA,"CR","Critically Endangered",NA,NA,"CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Pseudobulweria macgillivrayi",NA,NA,"CR","Critically Endangered",NA,NA,"CR","Critically Endangered","CR","Critically Endangered",NA,NA
"Procellaria aequinoctialis",NA,NA,"VU","Vulnerable","VU","Vulnerable","VU","Vulnerable","VU","Vulnerable",NA,NA
